,,,,,,,,,,,,,,,"$379,046,856.54 ",,,,,,,,,,,"$450,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModeCode,NTDModeCode,AssetDesc,AgencyDetail,AssetStatus,AssetTypeRoot,AssetTypeVariant,YRBuilt,YRInService,AgencyUsefulLife,StdUsefulLife,Quantity,UnitType, UnitCost ,AgencySoftCost, TotalCost ,YRCost,AssetPhysAddress,AssetPhysZIP,Latitude,Longitude,LineDivision,BranchGarage,SegmentRoute,LocLinearStart,LocLinearEnd,AgencyAssetUID,AgencyAssetClass,AgencyDeptOwner,AgencyNotes,AgencyConditionRating,AgencyParentUID,AgencyProjNum,AgencyProjCat,AgencyProjDesc,AgencySubFleetID,TOS,RevenueFlag,PriorityStatus,TCPScore,SquareFootage,HistoricPresrvFlag,ItemizedFlag,Manufacturer,ManufacturerCode,ModelNumber,FuelType,CapacitySeated,CapacityStanding,DataYR,DataSRC,ReviewFlag,ApprovedFlag,ApprovalComment,DelayReplaceAge,Rehabed,RehabedDate,CostNotes,UserField1,UserField2,UserField3,UserField4,FilterValue,RVID,PercentContingencyFleet,AssetPhysCity,AssetPhysState,DateofLastCondAssessment,AgencyCapitalResponsibility,LastRenewalYR,LastRenewalType,ADAFlag,AdditionalModeSupport,FTARecodeCategory,LastUpdated,Length,OwnershipType,FundingType,MilesThisYR,LifetimeMilesPerVeh,Column1
MB,MB,Bus (40 ft) - Hybrid,2019 GILLIG HYBRID,EXT,51933,,2019,2019,12,,67,Vehicle,"$875,000.00 ",,"$58,625,000.00 ",2019,Buses,,,,,,,,,1901-1919 2019 GILLIG HYBRID,,,,,,,,,,,,,,,FALSE,,Gillig Corporation,,LOW FLOOR,HD,39,10,,,,,,,,,,,,,,Revenue Vehicles,375469,0,,,,,,,TRUE,FALSE,,23:34.1,40,OOPA,UA,2977,53701,
MB,MB,#0502 ACIS-ADV COMM INFO SYSTM,ADVANCED COMM. & INFO. SYSTEM,EXT,33800,,2015,2015,10,,1,Each,"$23,486,551.36 ",0,"$23,486,551.36 ",2015,Bldg H - IS Trailer,,,,,,,,,AG000487,,,Replacement of District's radio communication systems.,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,MS SONOMA REFURBISH AND REPOWER,MV MILLENNIUM,EXT,51505,,1998,2018,42,,1,Lump Sum,"$2,500,000.00 ",0,"$22,500,000.00 ",2015,,,,,,,,,,CIP-1750,,,2018 - CIP-1740,,,,,,,,,,,,FALSE,,Gladding Hearn,,AMD360D,DF,450,,,,,,,,,,,,,,,Revenue Vehicles,375559,,,,,,,,TRUE,FALSE,Ferryboat (FB),00:30.3,110,TLPA,UA,9456,9456,
FB,FB,LARKSPUR FERRY TERMINAL BERTH AND CHANNEL DREDGING,LFT DREDGING,EXP,10700,,2015,2015,5,,1,Lump Sum,"$14,900,000.00 ",0,"$14,900,000.00 ",2015,,,,,,,,,,CIP-1442,,,2019 - CIP-1442,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Infrastructure,,,,,,,,,,,Ferryboat (FB),39:41.6,,,,,,
FB,FB,REFURBISHMENT OF THE MV NAPA,MV NAPA REFURBISHMENT,EXT,51505,,1999,2012,42,,1,Vehicle,"$12,263,943.95 ",0,"$12,263,943.95 ",2015,MV Napa,,,,,,,,,FG000812,,,"2010 Purchase Cost $2,000,000 plus $9,705,000 rehab CIP 0932",,,,,,,,,3,,,FALSE,,,,,DF,,,,,,,,,,,,,,,,Revenue Vehicles,35318,,,,,,,,FALSE,FALSE,Ferryboat (FB),42:55.5,143,OOPA,UA,34301,408590,
FB,FB,GANGWAY & PIERS - SAUSALITO CONST,CONSTRUCTION,EXP,43022,,2015,2015,30,,1,Lump Sum,"$11,500,000.00 ",0,"$11,500,000.00 ",2015,,,,,,,,,,CIP-1441,,,2018 - CIP-1441,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
FB,FB,MV GOLDEN GATE 2011,MV GOLDEN GATE 2011,EXT,51505,,1998,2011,42,,1,Vehicle,"$11,014,158.06 ",0,"$11,014,158.06 ",2011,MV Golden Gate,,,,,,,,,FG000807,,,"2010 Purchase Cost $2,000,000 plus $9,705,000 rehab CIP 0931",,,,,,,,,3,,,FALSE,,Dakota Creek Industries,,AMD360D,DF,,,,,,,,,,,,,,,,Revenue Vehicles,44237,,,,,,,,FALSE,FALSE,Ferryboat (FB),42:04.8,143,OOPA,UA,36819,364774,
FB,FB,MV MENDOCINO 2001,M.V. MENDOCINO 2001,EXT,51505,,2001,2001,42,,1,Vehicle,"$9,902,260.27 ",0,"$9,902,260.27 ",2015,,,,,,,,,,FG000994,,,"Aluminum 4 Engined (4xV16) Catam aran with USCG Capacity of 408 Passengers Deliver 07/2001, In S erv",,,,,,,,,3,,,FALSE,,Nichols Brothers Boat Builders,,INCAT139,DF,450,,,,,,,,,,,,,,,Revenue Vehicles,3892,,,,,,,,FALSE,FALSE,Ferryboat (FB),43:58.0,134,OOPA,UA,52150,1538145,
FB,FB,MS SAN FRANCISCO REFURBISHMENT,MS SAN FRANCISCO REFURBISHMENT,EXT,38301,,2015,2015,25,,1,Lump Sum,"$9,500,000.00 ",0,"$9,500,000.00 ",2015,,,,,,,,,,FG00064701,,,2015 - CIP-1026,,,,,,,,,4,,,FALSE,,Campbell Industries,,,DF,750,,,,,,,,,,,,,,,Revenue Vehicles,350646,,,,,,2015,,FALSE,FALSE,Ferryboat (FB),40:02.5,169,OOPA,UA,,,
