ModeCode,NTDModeCode,AssetDesc,AgencyDetail,AssetStatus,AssetTypeRoot,AssetTypeVariant,YRBuilt,YRInService,AgencyUsefulLife,StdUsefulLife,Quantity,UnitType,UnitCost,AgencySoftCost,TotalCost,YRCost,AssetPhysAddress,AssetPhysZIP,Latitude,Longitude,LineDivision,BranchGarage,SegmentRoute,LocLinearStart,LocLinearEnd,AgencyAssetUID,AgencyAssetClass,AgencyDeptOwner,AgencyNotes,AgencyConditionRating,AgencyParentUID,AgencyProjNum,AgencyProjCat,AgencyProjDesc,AgencySubFleetID,TOS,RevenueFlag,PriorityStatus,TCPScore,SquareFootage,HistoricPresrvFlag,ItemizedFlag,Manufacturer,ManufacturerCode,ModelNumber,FuelType,CapacitySeated,CapacityStanding,DataYR,DataSRC,ReviewFlag,ApprovedFlag,ApprovalComment,DelayReplaceAge,Rehabed,RehabedDate,CostNotes,UserField1,UserField2,UserField3,UserField4,FilterValue,RVID,PercentContingencyFleet,AssetPhysCity,AssetPhysState,DateofLastCondAssessment,AgencyCapitalResponsibility,LastRenewalYR,LastRenewalType,ADAFlag,AdditionalModeSupport,FTARecodeCategory,LastUpdated,Length,OwnershipType,FundingType,MilesThisYR,LifetimeMilesPerVeh
FC,FC,"FAREBOXES 56 EA 36""","FAREBOXES 56 EA 36""",RET,35201.0,,2015,2015,20,,56.0,Each,13950.3,0.0,781216.8,2015.0,,,,,,,,,,BG004912-A,,,"311400-Bus Op Adm-G&A 36"" Fareboxes split by MTC into separate asset record. Amt changed from $2,986,004.40 to $2,985,363.94 - Buses",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
MB,MB,NEW SF BUS FACILITY MODS,NEW SF BUS FACILITY MODS,EXT,22300.0,,2015,2015,25,,1.0,Each,9100000.0,0.0,9100000.0,2015.0,,,,,,,,,,CIP-1018,,,,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
MB,MB,#0502 ACIS-ADV COMM INFO SYSTM,ADVANCED COMM. & INFO. SYSTEM,EXT,33800.0,,2015,2015,10,,1.0,Each,23486551.36,0.0,23486551.36,2015.0,Bldg H - IS Trailer,,,,,,,,,AG000487,,,Replacement of District's radio communication systems.,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
MB,MB,D1 ADMIN/MAIN SHOP LIGHTING,D1 ADMIN/MAIN SHOP LIGHTING,EXT,21501.0,,2015,2015,15,,1.0,Lump Sum,710000.0,0.0,710000.0,2015.0,,,,,,,,,,CIP-1015,,,,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,MCI 120 VOLT OUTLETS,MCI 120 VOLT OUTLETS,EXT,33311.0,,2015,2015,14,,1.0,Each,427500.0,0.0,427500.0,2015.0,,,,,,,,,,CIP-1532,,,MCI 120 Volt outlets,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Maintenance Facilities,,,,,,
SY,SY,ELECTRONIC TIMEKEEPING SYSTEM,ELECTRONIC TIMEKEEPING SYSTEM,EXT,39206.0,,2015,2015,10,,1.0,Each,844750.0,0.0,844750.0,2015.0,,,,,,,,,,CIP-1513,,,Kronos Electronic Timekeeping System,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
MB,MB,D1 MAIN SHOP ROOF REPLACEMENT,D1 MAIN SHOP ROOF REPLACEMENT,EXT,21507.0,,2015,2015,20,,1.0,Sq Foot,990000.0,0.0,990000.0,2015.0,,,,,,,,,,CIP-1432,,,,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
MB,MB,BUS SECURITY CAMERAS,BUS SECURITY CAMERAS,EXT,33311.0,,2015,2015,10,,1.0,Each,900000.0,0.0,900000.0,2015.0,,,,,,,,,,CIP-1434,,,Bus Security Camera,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Maintenance Facilities,,,,,,
FB,FB,SERVICE LIFE EXTENSION PROGRAM - GANGWAYS/FLOAT/FEND,SLEP-GANGWAYS/FLOAT/FEND,EXT,43022.0,,2015,2015,10,,1.0,Each,1030000.0,0.0,1030000.0,2015.0,,,,,,,,,,CIP-1213,,,,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Ferryboat (FB),,,,,,
SY,SY,WEBSITE REDESIGN,WEBSITE REDESIGN,EXT,39201.0,,2015,2015,5,,1.0,Each,531900.0,0.0,531900.0,2015.0,,,,,,,,,,CIP-1518,,,,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,#1511 VOICEOVER IP PH SYS VOIP,,EXT,33400.0,,2015,2015,5,,1.0,Set,1176173.37,0.0,1176173.37,2015.0,Bldg H - IS Trailer,,,,,,,,,AG000488,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,#1514 REDUNDANT SYSTEMS,DISASTER RECOVERY,EXT,39103.0,,2015,2015,5,,1.0,Set,491496.41,0.0,491496.41,2015.0,Bldg H - IS Trailer,,,,,,,,,A0003657,,,REDUNDANT NETWORK SYSTEM FOR DISASTER RECOVERY,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,NETWORK SECURITY,NETWORK SECURITY,EXT,39103.0,,2015,2015,5,,1.0,Each,200000.0,0.0,200000.0,2015.0,,,,,,,,,,CIP-1515,,,Network Security,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,NETWORK REDUNDANCY PROJECT,,EXT,39301.0,,2015,2015,7,,1.0,Each,106948.75,0.0,106948.75,2015.0,Bldg H - IS Trailer,,,,,,,,,A0003649,,,"CIP-1553 Also see Tag #A0003635, 3636, 3637. See also Fatpipe. The $106,949 is the remaining balance to complete Network Redundancy.",,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,#1552 INDOOR WRLS NTWRK ACCESS,INDOOR WIRELESS NETWORK ACCESS,EXT,39302.0,,2015,2015,5,,1.0,Each,91162.52,0.0,91162.52,2015.0,Bldg H - IS Trailer,,,,,,,,,A0003660,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,GRANTS MODULE,GRANTS MODULE,EXT,39206.0,,2015,2015,5,,1.0,Each,200000.0,0.0,200000.0,2015.0,,,,,,,,,,CIP-1517,,,,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,#1512 EMAIL CORE SERVCS HRDWRE,EMAIL/MS OFFICE/CORE SVC,EXT,39201.0,,2015,2015,5,,1.0,Each,621977.03,0.0,621977.03,2015.0,Bldg H - IS Trailer,,,,,,,,,A0003656,,,CIP-1512 District Email/MS Office/Core Svc,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,DISASTER RECOVERY,DISASTER RECOVERY,EXT,39103.0,,2015,2015,5,,1.0,Each,200000.0,0.0,200000.0,2015.0,,,,,,,,,,CIP-1516,,,,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,#1550 CORE NETWORK ROUTERS,CORE NETWORK ROUTERS,EXT,39301.0,,2015,2015,5,,1.0,Each,496842.37,0.0,496842.37,2015.0,Bldg H - IS Trailer,,,,,,,,,A0003659,,,,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
MB,MB,WIRELESS INTERNET ACCESS BUSES,BUS WIRELESS INTERNET,EXT,33202.0,,2015,2015,5,,1.0,Each,881044.49,0.0,881044.49,2015.0,D4 San Francisco Plant,,,,,,,,,B0009367,,,"CIP 3-1108.8/31/15 - Fixed asset amount was decreased by $8,631.97 due VNG JE reversal of Jun 15 accrual.",,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Bus (BU),,,,,,
SY,SY,PAYROLL FURNITURE,PAYROLL FURNITURES,EXT,23200.0,,2015,2015,20,,1.0,Each,4346.3,0.0,4346.3,2015.0,D1 PAYROLL OFFICE,,,,,,,,,BG007601,,,D1 Payroll Office,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,PAYROLL FURNITURE,PAYROLL FURNITURES,EXT,23200.0,,2015,2015,20,,1.0,Each,4346.3,0.0,4346.3,2015.0,D1 PAYROLL OFFICE,,,,,,,,,BG007600,,,D1 Payroll Office,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,PAYROLL FURNITURE,PAYROLL FURNITURES,EXT,23200.0,,2015,2015,20,,1.0,Each,4346.3,0.0,4346.3,2015.0,D1 PAYROLL OFFICE,,,,,,,,,BG007599,,,D1 Payroll Office,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,PAYROLL FURNITURE,PAYROLL FURNITURES,EXT,23200.0,,2015,2015,20,,1.0,Each,4346.3,0.0,4346.3,2015.0,D1 PAYROLL OFFICE,,,,,,,,,BG007598,,,D1 Payroll Office,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,PAYROLL FURNITURE,PAYROLL FURNITURES,EXT,23200.0,,2015,2015,20,,1.0,Each,4346.31,0.0,4346.31,2015.0,D1 PAYROLL OFFICE,,,,,,,,,BG007597,,,D1 Payroll Office,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,PAYROLL FURNITURE,PAYROLL FURNITURES,EXT,23200.0,,2015,2015,20,,1.0,Each,4346.3,0.0,4346.3,2015.0,D1 PAYROLL OFFICE,,,,,,,,,BG007596,,,D1 Payroll Office,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,RUGGED LAPTOP,RUGGED LAPTOP,EXT,39101.0,,2015,2015,5,,1.0,Each,6000.57,0.0,6000.57,2015.0,IS Equipment Off Site,,,,,,,,,A0003645,,,IS Equipment Off Site,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Maintenance Facilities,,,,,,
SY,SY,RUGGED LAPTOP,RUGGED LAPTOP,EXT,39101.0,,2015,2015,5,,1.0,Each,6000.56,0.0,6000.56,2015.0,IS Equipment Off Site,,,,,,,,,A0003644,,,IS Equipment Off Site,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Maintenance Facilities,,,,,,
SY,SY,RUGGED LAPTOP,RUGGED LAPTOP,EXT,39101.0,,2015,2015,5,,1.0,Each,6000.56,0.0,6000.56,2015.0,IS Equipment Off Site,,,,,,,,,A0003643,,,IS Equipment Off Site,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Maintenance Facilities,,,,,,
SY,SY,RUGGED LAPTOP,RUGGED LAPTOP,EXT,39101.0,,2015,2015,5,,1.0,Each,6000.56,0.0,6000.56,2015.0,IS Equipment Off Site,,,,,,,,,A0003642,,,IS Equipment Off Site,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Maintenance Facilities,,,,,,
SY,SY,FATPIPE MPVPN APPLIANCE,NETWORK REDUNDANCY: FATPIPE MPVPN APPLIANCE,EXT,39301.0,,2015,2015,5,,1.0,Each,15187.5,0.0,15187.5,2015.0,SR A&D Trailer Computer Rm,,,,,,,,,A0003637,,,Network Redundancy. SR A&D Trailer Computer Rm,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,CROSSWALK WARNING SYSTEM,CROSSWALK WARNING SYSTEM,EXT,33300.0,,2015,2015,10,,1.0,Each,6253.13,0.0,6253.13,2015.0,,,,,,,,,,BR002309,,,Bldg F - IS Director Trailer,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,FURNITURE CARPET PURCHASE TRLR,FURNITURE CARPET PURCHASE TRLR,EXT,23200.0,,2015,2015,10,,1.0,Each,20229.56,0.0,20229.56,2015.0,Bldg B - Procurement Trailer,,,,,,,,,A0003638,,,Bldg B-Procurement Trailer.,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,FATPIPE MPVPN APPLIANCE,NETWORK REDUNDANCY: FATPIPE MPVPN APPLIANCE,EXT,39301.0,,2015,2015,5,,1.0,Each,15187.5,0.0,15187.5,2015.0,IS Computer Room,,,,,,,,,A0003636,,,Network Redundancy. IS Computer Room,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,FATPIPE MPVPN APPLIANCE,NETWORK REDUNDANCY: FATPIPE MPVPN APPLIANCE,EXT,39301.0,,2015,2015,5,,1.0,Each,12676.25,0.0,12676.25,2015.0,LFT Kiosk B,,,,,,,,,A0003635,,,Network Redundancy. LFT Kiosk B,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,FATPIPE MPVPN APPLIANCE,NETWORK REDUNDANCY: FATPIPE MPVPN APPLIANCE,EXT,39301.0,,2015,2015,5,,1.0,Each,7456.25,0.0,7456.25,2015.0,SFFT,,,,,,,,,F0001882,,,Network Redundancy. SFFT,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,FATPIPE MPVPN APPLIANCE,NETWORK REDUNDANCY: FATPIPE MPVPN APPLIANCE,EXT,39301.0,,2015,2015,5,,1.0,Each,7456.25,0.0,7456.25,2015.0,Sausilito Container #3,,,,,,,,,F0001881,,,Network Redundancy. Sausalito Container #3,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,FATPIPE MPVPN APPLIANCE,NETWORK REDUNDANCY: FATPIPE MPVPN APPLIANCE,EXT,39301.0,,2015,2015,5,,1.0,Each,9469.25,0.0,9469.25,2015.0,IS Equipment Off Site,,,,,,,,,F0001880,,,Network Redundancy. IS Equipment Off Site,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Passenger Facilities,,,,,,
SY,SY,FATPIPE MPVPN APPLIANCE,NETWORK REDUNDANCY: FATPIPE MPVPN APPLIANCE,EXT,39301.0,,2015,2015,5,,1.0,Each,7456.25,0.0,7456.25,2015.0,LFT Kiosk B,,,,,,,,,F0001879,,,Network Redundancy. LFT Kiosk B,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Passenger Facilities,,,,,,
SY,SY,DELL DATABASE SERVER IS SQL,DELL DATABASE SERVER IS SQL,EXT,39103.0,,2015,2015,5,,1.0,Each,5092.42,0.0,5092.42,2015.0,Bldg H - IS Trailer,,,,,,,,,BR002313,,,Bldg H - IS Trailer,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,2014 FORD FUSION HYBRID SEDAN,2014 FORD FUSION HYBRID SEDAN,EXT,53001.0,,2015,2015,7,,1.0,Vehicles,26660.77,0.0,26660.77,2015.0,Adm Bldg Non-Rev Vehicles,,,,,,,,,A0003632,,,Adm Bldg Non-Rev Vehicles,,,,,,,,,3.0,,,False,,,,,HG,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Automobile (AO),,,,,,
MB,MB,2014 FORD FUSION HYBRID SEDAN,2014 FORD FUSION HYBRID SEDAN,EXT,53001.0,,2015,2015,7,,1.0,Vehicles,26660.77,0.0,26660.77,2015.0,Adm Bldg Non-Rev Vehicles,,,,,,,,,A0003634,,,D1 Non-Revenue Vehicle,,,,,,,,,3.0,,,False,,,,,HG,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Automobile (AO),,,,,,
MB,MB,SANRAFAEL BUS FAC PNT BTH HEAT,SAN RAFAEL BUS FAC PNT BTH HEAT,EXT,23404.0,,2015,2015,20,,1.0,Each,309801.61,0.0,309801.61,2015.0,BODY SHOP,,,,,,,,,BG00080104,,,Body Shop,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
